Path,DSMdv,LC3,Avinf,Lcdate,TOF
3358,0.089,84.353,8.333,2036-02-08,14.94
3358,0.174,93.184,10.249,2032-10-08,11.25
3358,0.053,200.18,11.376,2032-05-21,10.37
3358,0.017,221.249,7.999,2036-02-02,13.68
3358,0.057,211.781,15.816,2039-11-05,14.07
3358,0.08,149.479,12.602,2036-02-02,14.61
3358,0.074,162.417,10.006,2037-07-30,14.53
3358,0.113,109.593,15.376,2034-02-16,12.08
3358,0.073,171.653,11.934,2037-04-09,13.86
3358,0.079,165.497,11.337,2037-10-18,12.11
3358,0.148,145.845,5.938,2034-12-15,13.66
3358,0.074,113.323,16.301,2039-06-22,10.15
3358,0.087,97.665,13.694,2033-11-16,13.85
3358,0.107,104.47,15.162,2038-11-20,14.96
3358,0.008,167.242,12.475,2031-11-09,13.12
3358,0.082,114.038,16.719,2038-06-07,12.97
3358,0.128,195.382,13.122,2038-11-20,11.62
3358,0.012,92.649,13.135,2036-09-21,13.46
3358,0.091,90.567,14.901,2031-11-03,10.5
3358,0.104,178.58,19.191,2032-01-16,14.65
3358,0.016,89.585,15.538,2033-10-17,12.42
3358,0.018,93.813,10.402,2033-12-02,13.52
3358,0.171,128.953,16.635,2037-05-03,14.59
3358,0.138,117.09,14.11,2034-02-02,15.0
3358,0.035,97.647,13.751,2031-01-01,14.47
3358,0.161,95.773,14.073,2033-10-29,14.6
3358,0.171,95.377,19.363,2039-07-30,13.98
3358,0.169,121.111,12.611,2032-04-17,11.53
3358,0.1,154.849,18.513,2033-02-01,15.0
3358,0.195,90.78,12.081,2032-08-25,12.76
3358,0.085,83.368,14.837,2039-05-31,13.88
3358,0.096,208.411,19.423,2034-09-08,13.16
3358,0.1,156.105,20.875,2035-02-09,13.56
3358,0.039,123.784,10.396,2037-01-25,7.93
3358,0.008,95.562,11.816,2039-07-18,13.32
3358,0.061,89.55,13.987,2033-02-11,14.57
3358,0.083,100.922,14.274,2034-12-07,14.97
3358,0.085,90.215,16.452,2036-02-04,12.42
3358,0.054,88.841,14.946,2038-02-17,13.01
3358,0.173,84.943,8.218,2037-04-15,12.52
3358,0.105,81.987,15.201,2039-04-11,13.85
3358,0.121,188.186,14.226,2039-11-03,13.76
3358,0.068,154.449,6.686,2035-06-23,12.95
3358,0.174,121.593,17.232,2031-09-20,7.81
3358,0.115,183.989,15.668,2036-01-09,6.93
3358,0.078,106.544,13.0,2035-02-09,13.94
3358,0.126,86.0,8.161,2039-01-27,11.24
3358,0.025,94.278,8.942,2038-06-01,13.71
3358,0.038,139.904,8.745,2032-11-27,14.04
3358,0.179,207.58,20.017,2034-02-16,12.57
3358,0.121,114.396,19.314,2032-10-24,13.9
3358,0.142,199.213,13.555,2039-12-11,12.92
3358,0.016,82.84,17.614,2039-04-07,13.84
3358,0.078,106.767,12.459,2038-10-21,14.18
3358,0.152,90.759,12.944,2031-12-29,13.64
