Path,DSMdv,LC3,Avinf,Lcdate,TOF
358,0.068,85.254,18.631,2037-02-26,11.29
358,0.072,94.26,14.899,2032-07-04,10.12
358,0.058,127.938,20.147,2031-06-24,11.06
358,0.067,165.004,21.321,2035-11-30,11.92
358,0.019,168.618,13.362,2034-09-14,9.76
358,0.0,189.528,16.078,2035-12-18,12.07
358,0.02,193.804,9.909,2037-08-07,13.89
358,0.066,96.15,14.5,2036-08-28,7.21
358,0.077,101.281,16.273,2034-09-08,8.5
358,0.077,141.485,15.011,2037-02-24,13.02
358,0.013,151.41,11.007,2034-09-06,9.49
358,0.004,213.633,16.975,2036-01-15,10.15
358,0.033,189.433,19.336,2031-05-11,11.3
358,0.034,96.518,7.911,2036-09-07,14.93
358,0.017,113.335,8.43,2032-05-05,7.81
358,0.041,84.47,5.707,2038-04-30,12.18
358,0.099,142.666,13.175,2034-07-22,10.04
358,0.097,87.558,12.968,2037-11-21,10.15
358,0.022,96.924,8.939,2037-09-18,6.01
358,0.092,188.647,13.947,2031-05-17,11.37
358,0.099,212.561,18.051,2032-02-03,10.33
358,0.037,80.76,12.738,2031-02-22,10.74
358,0.087,212.63,13.611,2033-07-29,14.09
358,0.096,100.008,12.056,2035-07-17,6.83
358,0.009,129.013,7.138,2038-04-02,12.75
358,0.1,198.67,4.382,2034-05-31,12.44
358,0.08,86.863,9.491,2034-06-08,12.12
358,0.068,207.632,6.232,2039-03-26,11.52
358,0.066,89.641,12.805,2034-07-22,9.48
358,0.069,130.662,17.187,2033-07-25,6.09
358,0.088,88.362,12.687,2034-07-24,9.41
358,0.096,188.189,13.736,2036-11-26,13.78
358,0.088,122.731,11.909,2039-11-09,7.69
358,0.079,89.09,10.401,2032-04-09,9.98
358,0.008,154.519,6.07,2035-01-20,13.97
358,0.016,120.679,11.07,2034-04-25,14.96
358,0.099,85.402,4.74,2033-05-12,7.98
358,0.086,100.792,10.249,2036-08-28,10.9
358,0.023,120.897,17.02,2038-11-14,12.62
358,0.1,142.192,7.759,2037-11-21,14.08
358,0.09,92.828,17.966,2031-05-29,10.58
358,0.005,92.328,21.439,2037-12-31,13.99
358,0.09,95.986,12.891,2034-09-08,14.87
358,0.066,96.947,24.667,2038-02-01,14.4
358,0.053,84.612,19.695,2032-03-28,5.25
358,0.09,125.399,19.744,2031-04-29,7.72
358,0.066,86.499,11.539,2034-07-18,8.19
358,0.079,126.738,9.844,2038-10-27,6.02
358,0.084,123.46,10.648,2036-11-02,11.07
358,0.03,203.323,15.438,2033-10-25,14.97
358,0.007,179.155,8.849,2035-06-03,14.35
358,0.099,119.271,7.847,2031-03-28,9.29
358,0.067,168.547,16.655,2033-04-26,10.78
358,0.002,187.708,9.858,2037-08-21,7.07
358,0.051,86.976,11.063,2037-10-22,7.52
358,0.095,191.885,17.227,2039-09-14,15.0
358,0.091,104.26,13.87,2034-12-05,13.95
358,0.057,100.003,23.446,2034-12-05,12.11
358,0.099,171.603,12.359,2036-09-21,11.07
358,0.062,114.849,12.234,2035-04-20,13.86
358,0.015,102.333,8.041,2032-08-25,9.35
358,0.08,99.875,15.256,2036-05-08,14.3
358,0.099,174.264,3.862,2033-04-18,14.13
358,0.087,128.628,11.173,2031-02-08,10.78
358,0.009,90.901,6.802,2035-08-26,6.43
358,0.036,207.388,9.305,2032-08-29,11.06
358,0.074,127.197,16.817,2039-11-09,5.8
358,0.09,174.97,9.603,2034-08-29,14.45
358,0.097,127.045,21.889,2036-04-14,11.74
358,0.094,192.429,16.51,2033-04-28,11.06
358,0.098,122.81,9.803,2038-09-29,9.66
358,0.06,141.865,4.104,2033-05-30,13.52
358,0.099,103.952,18.972,2031-06-26,10.7
358,0.01,101.394,19.991,2034-12-21,11.72
358,0.086,107.773,6.063,2036-04-12,13.86
358,0.03,106.727,22.288,2032-03-20,6.08
358,0.079,146.864,6.375,2036-10-03,12.39
358,0.094,98.252,23.904,2035-12-20,11.19
358,0.02,192.443,16.561,2039-09-26,15.0
358,0.093,92.438,7.228,2038-11-02,12.84
358,0.015,109.267,9.685,2037-05-05,13.04
358,0.096,141.799,20.317,2031-05-25,13.07
358,0.098,206.933,5.946,2033-03-19,13.47
358,0.002,101.663,15.626,2033-11-18,11.95
358,0.073,112.727,21.899,2037-05-25,14.54
358,0.072,96.949,18.149,2038-05-18,14.47
358,0.061,106.095,12.85,2037-03-26,13.7
358,0.029,165.121,7.811,2039-06-28,11.98
358,0.088,113.241,6.866,2035-07-19,14.71
358,0.067,168.519,11.278,2036-07-11,6.21
358,0.092,88.317,10.066,2035-07-19,14.09
358,0.083,215.581,7.303,2032-03-20,9.17
358,0.091,125.253,16.645,2033-10-27,12.15
358,0.084,101.294,23.919,2031-02-20,11.04
358,0.031,90.076,13.126,2033-07-07,9.13
358,0.096,125.528,17.63,2037-03-08,11.22
358,0.098,194.467,8.596,2037-11-21,15.0
358,0.05,98.66,9.579,2037-05-25,14.22
358,0.079,175.791,12.575,2035-10-21,9.29
358,0.037,189.059,13.832,2037-05-25,12.98
358,0.1,161.085,5.478,2039-03-24,11.28
358,0.066,120.27,11.802,2031-04-07,11.1
358,0.099,110.711,8.111,2034-06-08,8.06
358,0.062,83.765,13.053,2033-06-13,14.22
358,0.069,83.319,17.069,2034-01-15,14.2
358,0.087,85.301,6.109,2038-04-18,12.33
358,0.091,80.446,8.932,2036-01-29,13.21
